id,id,fdc_id,seq_num,amount,measure_unit_id,portion_description,modifier,gram_weight
25396,268065,2340814,4.0,,9999,1 cup,10205,245.0
25397,268066,2340814,5.0,,9999,Quantity not specified,90000,170.0
25398,268067,2340815,1.0,,9999,1 4 oz container,64638,113.0
25399,268068,2340815,2.0,,9999,1 6 oz container,60039,170.0
25400,268069,2340815,3.0,,9999,"1 container, NFS",60598,170.0
25401,268070,2340815,4.0,,9999,1 cup,10205,245.0
25402,268071,2340815,5.0,,9999,Quantity not specified,90000,170.0
25403,268072,2340816,1.0,,9999,1 tube,64066,64.0
25404,268073,2340816,2.0,,9999,1 4 oz container,64638,113.0
25405,268074,2340816,3.0,,9999,1 6 oz container,60039,170.0
25406,268075,2340816,4.0,,9999,"1 container, NFS",60598,170.0
25407,268076,2340816,5.0,,9999,1 cup,10205,245.0
25408,268077,2340816,6.0,,9999,Quantity not specified,90000,170.0
25409,268078,2340817,1.0,,9999,1 4 oz container,64638,113.0
25410,268079,2340817,2.0,,9999,1 6 oz container,60039,170.0
25411,268080,2340817,3.0,,9999,"1 container, NFS",60598,170.0
25412,268081,2340817,4.0,,9999,1 cup,10205,245.0
25413,268082,2340817,5.0,,9999,Quantity not specified,90000,170.0
25414,268083,2340818,1.0,,9999,1 5.3 oz container,64562,150.0
25415,268084,2340818,2.0,,9999,1 6 oz container,60039,170.0
25416,268085,2340818,3.0,,9999,"1 container, NFS",60598,150.0
25417,268086,2340818,4.0,,9999,1 cup,10205,245.0
25418,268087,2340818,5.0,,9999,Quantity not specified,90000,150.0
25419,268088,2340819,1.0,,9999,1 5.3 oz container,64562,150.0
25420,268089,2340819,2.0,,9999,1 6 oz container,60039,170.0
25421,268090,2340819,3.0,,9999,"1 container, NFS",60598,150.0
25422,268091,2340819,4.0,,9999,1 cup,10205,245.0
25423,268092,2340819,5.0,,9999,Quantity not specified,90000,150.0
25424,268093,2340820,1.0,,9999,1 tube,64066,57.0
25425,268094,2340820,2.0,,9999,1 5.3 oz container,64562,150.0
25426,268095,2340820,3.0,,9999,1 6 oz container,60039,170.0
25427,268096,2340820,4.0,,9999,"1 container, NFS",60598,150.0
25428,268097,2340820,5.0,,9999,1 cup,10205,245.0
25429,268098,2340820,6.0,,9999,Quantity not specified,90000,150.0
25430,268099,2340821,1.0,,9999,1 5.3 oz container,64562,150.0
25431,268100,2340821,2.0,,9999,1 6 oz container,60039,170.0
25432,268101,2340821,3.0,,9999,"1 container, NFS",60598,150.0
25433,268102,2340821,4.0,,9999,1 cup,10205,245.0
25434,268103,2340821,5.0,,9999,Quantity not specified,90000,150.0
25435,268104,2340822,6.0,,9999,1 5.3 oz container,64562,150.0
25436,268105,2340822,7.0,,9999,"1 container, NFS",60598,150.0
25437,268106,2340822,8.0,,9999,1 cup,10205,245.0
25438,268107,2340822,9.0,,9999,Quantity not specified,90000,150.0
