id,fdc_id,nutrient_id,amount
1106,171242.0,1004,32.34
1107,171242.0,1005,0.36
1108,171242.0,1008,413.0
1110,171242.0,1051,33.19
1114,171242.0,1079,0.0
1115,171242.0,1087,1011.0
1116,171242.0,1089,0.17
1117,171242.0,1090,36.0
1118,171242.0,1091,605.0
1119,171242.0,1092,81.0
1120,171242.0,1093,714.0
1121,171242.0,1095,3.9
1122,171242.0,1098,0.032
1123,171242.0,1103,14.5
1125,171242.0,1106,271.0
1128,171242.0,1109,0.28
1129,171242.0,1114,0.6
1131,171242.0,1122,0.0
1132,171242.0,1123,0.0
1133,171242.0,1162,0.0
1134,171242.0,1165,0.06
1135,171242.0,1166,0.279
1136,171242.0,1167,0.106
1137,171242.0,1175,0.081
1138,171242.0,1177,10.0
1139,171242.0,1178,1.6
1140,171242.0,1180,15.4
1141,171242.0,1185,2.7
1145,171242.0,1242,0.0
1146,171242.0,1246,0.0
1147,171242.0,1253,110.0
1148,171242.0,1258,18.913
1161,171242.0,1272,0.0
1165,171242.0,1278,0.0
1168,171242.0,1292,10.043
1169,171242.0,1293,1.733
1170,171243.0,1003,20.05
1171,171243.0,1004,27.25
1172,171243.0,1005,0.49
1173,171243.0,1008,327.0
1175,171243.0,1051,48.42
1179,171243.0,1079,0.0
1180,171243.0,1087,497.0
1181,171243.0,1089,0.13
1182,171243.0,1090,21.0
1183,171243.0,1091,393.0
1184,171243.0,1092,128.0
1185,171243.0,1093,800.0
1186,171243.0,1095,2.1
1187,171243.0,1098,0.021
1188,171243.0,1103,14.5
1190,171243.0,1106,340.0
1193,171243.0,1109,0.23
1194,171243.0,1114,0.5
1196,171243.0,1122,0.0
1197,171243.0,1123,0.0
1198,171243.0,1162,0.0
1199,171243.0,1165,0.08
1200,171243.0,1166,0.503
1201,171243.0,1167,0.158
1202,171243.0,1175,0.086
1203,171243.0,1177,58.0
1204,171243.0,1178,1.04
1205,171243.0,1180,15.4
1206,171243.0,1185,2.3
1210,171243.0,1242,0.0
1211,171243.0,1246,0.0
1212,171243.0,1253,90.0
1213,171243.0,1258,16.746
1226,171243.0,1272,0.0
1230,171243.0,1278,0.0
1233,171243.0,1292,8.606
1234,171243.0,1293,0.495
1235,170844.0,1003,24.48
1236,170844.0,1004,30.28
1237,170844.0,1005,0.68
1238,170844.0,1008,373.0
1240,170844.0,1051,41.01
1244,170844.0,1079,0.0
1245,170844.0,1087,746.0
1246,170844.0,1089,0.72
1247,170844.0,1090,27.0
1248,170844.0,1091,444.0
1249,170844.0,1092,81.0
1250,170844.0,1093,600.0
1251,170844.0,1095,3.0
1252,170844.0,1098,0.032
1253,170844.0,1103,14.5
1255,170844.0,1106,198.0
1258,170844.0,1109,0.26
1259,170844.0,1114,0.6
1261,170844.0,1122,0.0
1262,170844.0,1123,0.0
1263,170844.0,1162,0.0
1264,170844.0,1165,0.015
1265,170844.0,1166,0.39
1266,170844.0,1167,0.093
1267,170844.0,1175,0.079
1268,170844.0,1177,18.0
1269,170844.0,1178,0.83
1270,170844.0,1180,15.4
1271,170844.0,1185,2.5
1275,170844.0,1242,0.0
1276,170844.0,1246,0.0
1277,170844.0,1253,89.0
1278,170844.0,1258,19.066
1291,170844.0,1272,0.0
1295,170844.0,1278,0.0
